Date,Open,High,Low,Close,Adj Close,Volume
2024-03-21,67911.59,68199.99,64580.92,65491.39,65491.39,44480350565.00
2024-03-22,65489.93,66623.75,62355.37,63778.76,63778.76,41401116964.00
2024-03-23,63802.72,65976.40,63038.49,64062.20,64062.20,24738964812.00
2024-03-24,64070.75,67622.76,63825.85,67234.17,67234.17,27206630673.00
2024-03-25,67234.09,71162.59,66414.84,69958.81,69958.81,42700139523.00
2024-03-26,69931.33,71535.74,69335.61,69987.84,69987.84,36010437368.00
2024-03-27,69991.90,71727.69,68381.93,69455.34,69455.34,40827113309.00
2024-03-28,69452.77,71546.02,68895.51,70744.95,70744.95,34374900617.00
2024-03-29,70744.80,70913.09,69076.66,69892.83,69892.83,25230851763.00
2024-03-30,69893.45,70355.49,69601.06,69645.30,69645.30,17130241883.00
2024-03-31,69647.78,71377.78,69624.87,71333.65,71333.65,20050941373.00
2024-04-01,71333.48,71342.09,68110.70,69702.15,69702.15,34873527352.00
2024-04-02,69705.02,69708.38,64586.59,65446.97,65446.97,50705240709.00
2024-04-03,65446.67,66914.32,64559.90,65980.81,65980.81,34488018367.00
2024-04-04,65975.70,69291.26,65113.80,68508.84,68508.84,34439527442.00
2024-04-05,68515.76,68725.76,66011.48,67837.64,67837.64,33748230056.00
2024-04-06,67840.57,69629.60,67491.72,68896.11,68896.11,19967785809.00
2024-04-07,68897.11,70284.43,68851.63,69362.55,69362.55,21204930369.00
2024-04-08,69362.55,72715.36,69064.24,71631.36,71631.36,37261432669.00
2024-04-09,71632.50,71742.51,68212.92,69139.02,69139.02,36426900409.00
2024-04-10,69140.24,71093.43,67503.56,70587.88,70587.88,38318601774.00
2024-04-11,70575.73,71256.23,69571.81,70060.61,70060.61,30153382941.00
2024-04-12,70061.38,71222.74,65254.84,67195.87,67195.87,44129299406.00
2024-04-13,67188.38,67931.43,60919.11,63821.47,63821.47,52869738185.00
2024-04-14,63836.23,65824.43,62205.85,65738.73,65738.73,49084320047.00
2024-04-15,65739.65,66878.65,62332.07,63426.21,63426.21,43595917654.00
2024-04-16,63419.30,64355.67,61716.40,63811.86,63811.86,42847528078.00
2024-04-17,63831.85,64486.36,59768.59,61276.69,61276.69,41915247049.00
2024-04-18,61275.32,64125.69,60833.48,63512.75,63512.75,36006307335.00
2024-04-19,63510.75,65481.60,59651.39,63843.57,63843.57,49920425401.00
2024-04-20,63851.10,65442.46,63172.40,64994.44,64994.44,23097485495.00
2024-04-21,64992.82,65723.24,64277.72,64926.64,64926.64,20506644853.00
2024-04-22,64935.63,67233.96,64548.18,66837.68,66837.68,28282686673.00
2024-04-23,66839.89,67199.24,65864.87,66407.27,66407.27,24310975583.00
2024-04-24,66408.72,67075.37,63589.87,64276.90,64276.90,30276655120.00
2024-04-25,64275.02,65275.21,62783.63,64481.71,64481.71,32155786816.00
2024-04-26,64485.37,64789.66,63322.40,63755.32,63755.32,24139372950.00
2024-04-27,63750.99,63898.36,62424.72,63419.14,63419.14,19530783039.00
2024-04-28,63423.52,64321.48,62793.60,63113.23,63113.23,17334827993.00
2024-04-29,63106.36,64174.88,61795.46,63841.12,63841.12,26635912073.00
2024-04-30,63839.42,64703.33,59120.07,60636.86,60636.86,37840840057.00
2024-05-01,60609.50,60780.50,56555.29,58254.01,58254.01,48439780271.00
2024-05-02,58253.70,59602.30,56937.20,59123.43,59123.43,32711813559.00
2024-05-03,59122.30,63320.50,58848.31,62889.84,62889.84,33172023048.00
2024-05-04,62891.03,64494.96,62599.35,63891.47,63891.47,20620477992.00
2024-05-05,63892.45,64610.89,62955.30,64031.13,64031.13,18296164805.00
2024-05-06,64038.31,65494.90,62746.24,63161.95,63161.95,28697928697.00
2024-05-07,63162.76,64390.46,62285.98,62334.82,62334.82,25930730982.00
2024-05-08,62332.64,62986.09,60877.13,61187.94,61187.94,26088172222.00
2024-05-09,61191.20,63404.91,60648.07,63049.96,63049.96,25453338161.00
2024-05-10,63055.19,63446.74,60208.78,60792.78,60792.78,27804954694.00
2024-05-11,60793.36,61451.15,60492.63,60793.71,60793.71,13842272968.00
2024-05-12,60793.50,61818.16,60632.60,61448.39,61448.39,13800459405.00
2024-05-13,61451.22,63422.66,60769.84,62901.45,62901.45,27889181179.00
2024-05-14,62900.77,63092.13,61123.77,61552.79,61552.79,28186271527.00
2024-05-15,61553.99,66454.45,61330.41,66267.49,66267.49,39815167074.00
2024-05-16,66256.11,66712.43,64613.05,65231.58,65231.58,31573077994.00
2024-05-17,65231.30,67459.46,65119.32,67051.88,67051.88,28031279310.00
2024-05-18,67066.21,67387.33,66663.50,66940.80,66940.80,16712277406.00
2024-05-19,66937.93,67694.30,65937.18,66278.37,66278.37,19249094538.00
2024-05-20,66278.74,71483.56,66086.17,71448.20,71448.20,43850655717.00
2024-05-21,71443.06,71946.46,69191.13,70136.53,70136.53,46932005990.00
2024-05-22,70135.32,70623.70,68977.70,69122.34,69122.34,32802561717.00
2024-05-23,69121.30,70041.27,66356.95,67929.56,67929.56,41895680979.00
2024-05-24,67928.13,69220.30,66622.67,68526.10,68526.10,29197308153.00
2024-05-25,68526.92,69579.32,68515.82,69265.95,69265.95,15473071741.00
2024-05-26,69264.29,69506.23,68183.89,68518.09,68518.09,15628433737.00
2024-05-27,68512.18,70597.88,68232.50,69394.55,69394.55,25870990717.00
2024-05-28,69392.20,69514.64,67227.16,68296.22,68296.22,32722265965.00
2024-05-29,68296.35,68852.46,67101.49,67578.09,67578.09,26707072906.00
2024-05-30,67576.09,69500.54,67118.08,68364.99,68364.99,29509712534.00
2024-05-31,68362.52,68999.56,66633.42,67491.41,67491.41,27387283769.00
2024-06-01,67489.61,67839.77,67386.20,67706.94,67706.94,11641495604.00
2024-06-02,67710.27,68409.16,67315.52,67751.60,67751.60,17110588415.00
2024-06-03,67753.90,70230.82,67589.84,68804.78,68804.78,32401285324.00
2024-06-04,68804.57,71047.41,68564.64,70567.77,70567.77,33149696545.00
2024-06-05,70568.35,71735.41,70390.71,71082.82,71082.82,32810771409.00
2024-06-06,71082.84,71625.73,70119.13,70757.16,70757.16,25223152007.00
2024-06-07,70759.19,71907.85,68507.26,69342.59,69342.59,36188381096.00
2024-06-08,69324.18,69533.32,69210.74,69305.77,69305.77,14262185861.00
2024-06-09,69297.49,69817.52,69160.84,69647.99,69647.99,13534028500.00
2024-06-10,69644.31,70146.07,69232.42,69512.28,69512.28,20597699541.00
2024-06-11,69508.08,69549.41,66123.60,67332.03,67332.03,37116136345.00
2024-06-12,67321.38,69977.89,66902.45,68241.19,68241.19,34497940694.00
2024-06-13,68243.10,68365.78,66304.56,66756.40,66756.40,28955204146.00
2024-06-14,66747.57,67294.65,65056.89,66011.09,66011.09,27403884779.00
2024-06-15,66006.74,66402.19,65871.77,66191.00,66191.00,14121265576.00
2024-06-16,66189.36,66894.84,66018.25,66639.05,66639.05,13281140541.00
